Author,Title,Abstract
"Bergmann Felix, Stadlmayr Sarah, Millesi Flavia, Zeitlinger Markus, Naghilou Aida, Radtke Christine",The properties of native Trichonephila dragline silk and its biomedical applications.,"Spider silk has fascinated mankind for millennia, but it is only in recent decades that scientific research has begun to unravel all its characteristics and applications. The uniqueness of spider silk resides in its versatility, in which a combination of high strength and extensibility results in extraordinary toughness, superior to almost all natural and man-made fibers. Dragline silk consists of proteins with highly repetitive amino acid sequences, which have been correlated with specific secondary structures responsible for its physical properties. The native fiber also shows high cytocompatibility coupled with low immunogenicity, making it a promising natural biomaterial for numerous biomedical applications. Recently, novel technologies have enabled new insights into the material and biomedical properties of silk. Due to the increasing interest in spider silk, as well as the desire to produce synthetic alternatives, we present an update on the current knowledge of silk fibers produced by the spider genus Trichonephila."
"Borrasca-Fernandes Carla Fernanda, Prado Camila Carbone, Capitani Eduardo Mello De, Hyslop Stephen, Bucaretchi Fábio",Temporal evolution of dermonecrosis in loxoscelism assessed by photodocumentation.,"Although loxoscelism (bites by brown spiders of the genus Loxosceles) frequently results in dermonecrosis, no previous clinical reports have provided detailed temporal photodocumentation of the evolution of dermonecrotic lesions in a case series."
"Sims Richard A, Fish-Trotter Hannah L, Clark Daniel E, Gayle Kathryn A, Hughes Sean G, Brittain Evan L",Toxin-Mediated Myocarditis From a Brown Recluse Spider Bite.,We describe a case of myocarditis associated with a brown recluse spider bite in a 31-year-old man. Cardiac magnetic resonance revealed late gadolinium enhancement in the lateral wall and inferior wall. There was also regional elevation of the myocardial T2 and extracellular volume indicative of myocardial edema. (
"Mokhtar A S, Muslimin M, Mat-Saat A Y, Ghazali A-R M, Ismail A K, Abdul-Aziz N M",Bite envenomation by Latrodectus geometricus (Araneae: Theridiidae) spiders in Malaysia.,"We report two confirmed human bite cases by Lactrodectus geometricus , also known as the brown widow spider. These are the first reported bite envenomation incidents by L. geometricus in Malaysia. The incidents occurred in Tawau, Sabah and Paka, Terengganu. Both men were bitten on their ear while putting on motorcycle helmets. The spiders appeared to have nested in the helmets. The dead specimens were collected and sent to the Invertebrate and Vertebrate Neurobiology Laboratory, Department of Parasitology, Universiti Malaya for identification. The species identity was confirmed by DNA barcoding."
"Chen Cheng, Zhang Ying, Yin Da, Liu Yan, Cheng Yunpeng, Lu Yan, Jiang Yinong, Song Wei",Refractory hypertension secondary to renal artery stenosis with a honeycomb-like structure.,"A honeycomb-like structure (HLS) is a rare abnormality characterized by a braid-like appearance. Angiograph and intravascular examination, including coherence tomography and intravascular ultrasound (IVUS), can further confirm the multiple intraluminal channels or honeycomb structure, which can also be described as looking like 'swiss cheese', a 'spider web' or a 'lotus root'. Previous studies have mostly reported this abnormality in coronary arteries, with a few cases in renal arteries. More information about the characteristics and development of HLS is needed."
"Hilbring Caroline, Augustin Matthias, Kirsten Natalia, Mohr Nicole","Epidemiology of rosacea in a population-based study of 161,269 German employees.","Rosacea is a common chronic skin condition, but data on its epidemiology and related comorbidities are scarce."
"Aloise Daniel M, Izquierdo Guillermo",Uncertainty of Liver Cirrhosis Diagnosis and Use of Elastography.,"A case of severe jaundice in a patient with a long history of alcohol abuse led to a questionable diagnosis of liver cirrhosis. To determine its diagnostic utility in the setting of liver disease, elastography was utilized on our patient to confirm the clinically suspected diagnosis of cirrhosis. A 59-year-old male presented to our emergency department (ED) with two days of progressive jaundice and right upper quadrant (RUQ) pain. The patient admitted to drinking > 500 mL of vodka daily for the last seven years, with his last drink on the morning of admission. Physical exam revealed a man in mild acute distress with severe jaundice and an abdomen diffusely tender to palpation. Two spider angiomas were present on the torso along with caput medusae and mild asterixis. Labs revealed aspartate aminotransferase (AST) 408, alanine aminotransferase (ALT) 69, prothrombin time (PT) 16.3, partial thromboplastin time (PTT) 36, total bilirubin 22.6, and direct bilirubin 19.9 mg/dL. While admitted, total bilirubin rose as high as 31.5 mg/dL. Examination showed a Model for End-Stage Liver Disease (MELD) score of 22 and a Maddrey score of 37. Ultrasound revealed moderate hepatosplenomegaly with no signs of pancreatitis. Based on the patient's history of alcohol abuse paired with physical exam findings and elevated laboratory markers, we were able to diagnose with a high level of suspicion that this patient was suffering from chronic alcoholic liver disease, exacerbated by an acute episode of alcoholic hepatitis, which led to hepatic encephalopathy. Based on these findings, a diagnosis of liver cirrhosis was suspected; however, this diagnosis required further confirmation. We utilized ultrasound elastography to measure the velocity of shear wave transmission in the liver of our patient. A literature review was conducted on the use of elastography for the diagnosis of liver disease, and a significant correlation between the velocity of shear wave transmission and hepatic histological findings was identified. Elastography revealed a mean velocity of shear wave transmission of 1.77 m/s in our patient. This finding is consistent with a Meta-analysis of Histological Data in Viral Hepatitis (METAVIR) score of F = 4, indicating significant fibrosis and confirming the suspected diagnosis of alcohol-induced liver cirrhosis. As a non-invasive and inexpensive diagnostic tool, elastography demonstrates significant potential for clinical utility in patients with liver disease. Clinicians may benefit from the use of elastography in diagnosis, while patients may receive both therapeutic and prognostic benefits secondary to its use. In similar cases with clinical uncertainty, elastography can reliably identify the presence of fibrous tissue in the liver without tissue biopsy, thus aiding in clinical diagnoses and enabling the use of optimal therapeutic regimens for future patients."
"Javanbakht Arash, Madaboosi Shantanu, Grasser Lana Ruvolo",Real-life contextualization of exposure therapy using augmented reality: A pilot clinical trial of a novel treatment method.,"Phobias, including arachnophobia, are common and can be treated with exposure therapy, a method that is limited by a lack of feared objects/situations in clinical settings."
"Pinto-Marroquin Marianna, Aristizabal John F, García-Del Valle Yasminda, Ruan-Soto Felipe, Serio-Silva Juan Carlos",The Primate Cultural Significance Index: applications with Popoluca Indigenous people at Los Tuxtlas Biosphere Reserve.,"The study of the cultural significance (CS) of biodiversity provides key information to develop conservation strategies consistent with traditions and perceptions of human communities. In Los Tuxtlas Biosphere Reserve (TBR) in Mexico, the mantled howler monkeys (Alouatta palliata mexicana) and the black-handed spider monkeys (Ateles geoffroyi vellerosus) have historically coexisted with Popoluca Indigenous Peoples. This study sought to determine how the presence of a natural protected area (TBR location) and a range of sociodemographic factors (gender, age, origin, language proficiency, education level, religion) relate to the CS held by the Popoluca Indigenous People in relation to these two endangered primate species."
"Mayor Eric, Meyer Andrea, Miani Alessandro, Lieb Roselind",An exploration of the nomological network of trypophobia.,"Trypophobia is characterised by an aversion to or even revulsion for patterns of holes or visual stimuli featuring such patterns. Past research has shown that trypophobic stimuli trigger emotional and physiological reactions, but relatively little is known about the antecedents, prodromes, or simply covariates of trypophobia."
"Onofrei David, Stengel Dillan, Jia Di, Johnson Hannah R, Trescott Samantha, Soni Ashana, Addison Bennett, Muthukumar Murugappan, Holland Gregory P",Investigating the Atomic and Mesoscale Interactions that Facilitate Spider Silk Protein Pre-Assembly.,"Black widow spider dragline silk is one of nature's high-performance biological polymers, exceeding the strength and toughness of most man-made materials including high tensile steel and Kevlar. Major ampullate (Ma), or dragline silk, is primarily comprised of two spidroin proteins (Sp) stored within the Ma gland. In the native gland environment, the MaSp1 and MaSp2 proteins self-associate to form hierarchical 200-300 nm superstructures despite being intrinsically disordered proteins (IDPs). Here, dynamic light scattering (DLS), three-dimensional (3D) triple resonance solution NMR, and diffusion NMR is utilized to probe the MaSp size, molecular structure, and dynamics of these protein pre-assemblies diluted in 4 M urea and identify specific regions of the proteins important for silk protein pre-assembly. 3D NMR indicates that the Gly-Ala-Ala and Ala-Ala-Gly motifs flanking the poly(Ala) runs, which comprise the β-sheet forming domains in fibers, are perturbed by urea, suggesting that these regions may be important for silk protein pre-assembly stabilization."
"Koch Alina, Jonsson Micael, Yeung Leo W Y, Kärrman Anna, Ahrens Lutz, Ekblad Alf, Wang Thanh",Quantification of Biodriven Transfer of Per- and Polyfluoroalkyl Substances from the Aquatic to the Terrestrial Environment via Emergent Insects.,"Emergent aquatic insects are important food subsidies to riparian food webs but can also transfer waterborne contaminants to the terrestrial environment. This study aimed to quantitatively assess this biodriven transfer for per- and polyfluoroalkyl substances (PFAS). Aquatic insect larvae, emergent aquatic insects, terrestrial consumers, sediment, and water were collected from a contaminated lake and stream and an uncontaminated pond, and analyzed for PFAS and stable isotopes of carbon and nitrogen. Top predators in this study were spiders, which showed the highest average ∑"
